id,state,abbr,difficultyDressingBathing,belowPoverty
1,Alabama,AL,5.5,19.3
2,Alaska,AK,2.8,11.2
3,Arizona,AZ,3.6,18.2
4,Arkansas,AR,6.3,18.9
5,California,CA,4,16.4
6,Colorado,CO,2.3,12
7,Connecticut,CT,3.1,10.8
8,Delaware,DE,4.3,12.5
9,District of Columbia,DC,3.6,17.7
10,Florida,FL,4,16.5
11,Georgia,GA,4,18.3
12,Hawaii,HI,2,11.4
13,Idaho,ID,2.6,14.8
14,Illinois,IL,3.2,14.4
15,Indiana,IN,3.9,15.2
16,Iowa,IA,2.9,12.2
17,Kansas,KS,3.1,13.6
18,Kentucky,KY,5.7,19.1
19,Louisiana,LA,5,19.8
20,Maine,ME,2.9,14.1
21,Maryland,MD,2.5,10.1
22,Massachusetts,MA,3.7,11.6
23,Michigan,MI,4.2,16.2
24,Minnesota,MN,2.7,11.5
25,Mississippi,MS,5.4,21.5
26,Missouri,MO,4.1,15.5
27,Montana,MT,3.5,15.4
28,Nebraska,NE,2.7,12.4
29,Nevada,NV,4.4,15.2
30,New Hampshire,NH,2.7,9.2
31,New Jersey,NJ,3.4,11.1
32,New Mexico,NM,4.6,21.3
33,New York,NY,3.6,15.9
34,North Carolina,NC,4.8,17.2
35,North Dakota,ND,2,11.5
36,Ohio,OH,3.8,15.8
37,Oklahoma,OK,5.1,16.6
38,Oregon,OR,3.7,16.6
39,Pennsylvania,PA,3.3,13.6
40,Rhode Island,RI,3.3,14.3
41,South Carolina,SC,5.3,18
42,South Dakota,SD,2.4,14.2
43,Tennessee,TN,5.5,18.3
44,Texas,TX,3.9,17.2
45,Utah,UT,2.4,11.7
46,Vermont,VT,2.9,12.2
47,Virginia,VA,3,11.8
48,Washington,WA,3.6,13.2
49,West Virginia,WV,5.7,18.3
50,Wisconsin,WI,3.1,13.2
51,Wyoming,WY,2.6,11.2
52,Puerto Rico,PR,7.9,46.2
